opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1508403599999.0,447.97577475141145,537.5709297016937,5,0.8,1.2,1508412599999.0,TP
1508583599999.0,452.44567703188096,542.9348124382572,5,0.8,1.2,1508625899999.0,TP
1508715899999.0,412.3978802498439,329.91830419987514,5,0.8,1.2,1508760899999.0,SL
1508706899999.0,434.1076013956399,347.2860811165119,5,0.8,1.2,1508761799999.0,SL
1508676299999.0,456.96017999730515,365.5681439978441,5,0.8,1.2,1508762699999.0,SL
1508751899999.0,391.77386225854923,470.12863471025906,5,0.8,1.2,1508791499999.0,TP
1508967899999.0,447.8111805965834,537.3734167159001,5,0.8,1.2,1509018299999.0,TP
1509213599999.0,429.6609457343418,515.5931348812102,5,0.8,1.2,1509283799999.0,TP
1509044399999.0,452.2794405565761,542.7353286678913,5,0.8,1.2,1509291899999.0,TP
1509415199999.0,416.1154356989307,332.8923485591446,5,0.8,1.2,1509529499999.0,SL
1509392699999.0,461.0794417309869,368.86355338478955,5,0.8,1.2,1509533999999.0,SL
1509402599999.0,438.0208588500202,350.4166870800162,5,0.8,1.2,1509576299999.0,SL
1509647399999.0,404.22449833884446,485.0693980066133,5,0.8,1.2,1509713099999.0,TP
1509643799999.0,425.50395092458285,510.6047411094994,5,0.8,1.2,1509745499999.0,TP
1509608699999.0,447.90361048493446,537.4843325819213,5,0.8,1.2,1509747299999.0,TP
1509897599999.0,398.398000718402,478.07760086208236,5,0.8,1.2,1509950699999.0,TP
1509817499999.0,419.3707309744334,503.24487716932003,5,0.8,1.2,1509965099999.0,TP
1509651899999.0,384.00923117691883,460.81107741230255,5,0.8,1.2,1509966899999.0,TP
1509902999999.0,378.4741167024747,454.1689400429696,5,0.8,1.2,1509966899999.0,TP
1509750899999.0,441.44752152594594,529.7370258311352,5,0.8,1.2,1509972299999.0,TP
1509931799999.0,359.5466261261839,431.4559513514207,5,0.8,1.2,1509983099999.0,TP
1510133399999.0,460.1864590117506,368.1491672094005,5,0.8,1.2,1510163099999.0,SL
1510090199999.0,484.4118980323483,581.2942776388179,5,0.8,1.2,1510165799999.0,TP
1510348499999.0,484.63521200453533,581.5622544054423,5,0.8,1.2,1510350299999.0,TP
1510369199999.0,441.738189292106,353.3905514336848,5,0.8,1.2,1510414199999.0,SL
1510366499999.0,464.9924623333993,371.99396986671945,5,0.8,1.2,1510417799999.0,SL
1510351199999.0,489.4709021499166,391.5767217199333,5,0.8,1.2,1510451999999.0,SL
1510404299999.0,419.6468624456077,335.7174899564862,5,0.8,1.2,1510453799999.0,SL
1510496099999.0,471.27973271621426,565.5356792594571,5,0.8,1.2,1510509599999.0,TP
1510604999999.0,475.98216188925664,571.178594267108,5,0.8,1.2,1510629299999.0,TP
1510615799999.0,452.17829397317496,542.6139527678099,5,0.8,1.2,1510642799999.0,TP
