timestamp,wallet_money,invest_money,all_money,nb_en_orders,nb_di_orders
1632783600000.0,10000,0,10000,0,0
1632784500000.0,10000,0,10000,0,0
1632785400000.0,10000,0,10000,0,0
1632786300000.0,10000,0,10000,0,0
1632787200000.0,10000,0,10000,0,0
1632788100000.0,10000,0,10000,0,0
1632789000000.0,10000,0,10000,0,0
1632789900000.0,10000,0,10000,0,0
1632790800000.0,10000,0,10000,0,0
1632791700000.0,10000,0,10000,0,0
1632792600000.0,10000,0,10000,0,0
1632793500000.0,10000,0,10000,0,0
1632794400000.0,10000,0,10000,0,0
1632795300000.0,10000,0,10000,0,0
1632796200000.0,10000,0,10000,0,0
1632797100000.0,10000,0,10000,0,0
1632798000000.0,10000,0,10000,0,0
1632798900000.0,10000,0,10000,0,0
1632799800000.0,10000,0,10000,0,0
1632800700000.0,10000,0,10000,0,0
1632801600000.0,10000,0,10000,0,0
1632802500000.0,10000,0,10000,0,0
1632803400000.0,10000,0,10000,0,0
1632804300000.0,10000,0,10000,0,0
1632805200000.0,10000,0,10000,0,0
1632806100000.0,10000,0,10000,0,0
1632807000000.0,10000,0,10000,0,0
1632807900000.0,10000,0,10000,0,0
1632808800000.0,10000,0,10000,0,0
1632809700000.0,10000,0,10000,0,0
1632810600000.0,10000,0,10000,0,0
1632811500000.0,10000,0,10000,0,0
1632812400000.0,10000,0,10000,0,0
1632813300000.0,10000,0,10000,0,0
1632814200000.0,10000,0,10000,0,0
1632815100000.0,10000,0,10000,0,0
1632816000000.0,10000,0,10000,0,0
1632816900000.0,10000,0,10000,0,0
1632817800000.0,10000,0,10000,0,0
1632818700000.0,10000,0,10000,0,0
1632819600000.0,10000,0,10000,0,0
1632820500000.0,10000,0,10000,0,0
1632821400000.0,10000,0,10000,0,0
1632822300000.0,10000,0,10000,0,0
1632823200000.0,10000,0,10000,0,0
1632824100000.0,10000,0,10000,0,0
1632825000000.0,10000,0,10000,0,0
1632825900000.0,10000,0,10000,0,0
1632826800000.0,10000,0,10000,0,0
1632827700000.0,10000,0,10000,0,0
1632828600000.0,10000,0,10000,0,0
1632829500000.0,10000,0,10000,0,0
1632830400000.0,10000,0,10000,0,0
1632831300000.0,10000,0,10000,0,0
1632832200000.0,10000,0,10000,0,0
1632833100000.0,10000,0,10000,0,0
1632834000000.0,10000,0,10000,0,0
1632834900000.0,10000,0,10000,0,0
1632835800000.0,10000,0,10000,0,0
1632836700000.0,10000,0,10000,0,0
1632837600000.0,10000,0,10000,0,0
1632838500000.0,10000,0,10000,0,0
1632839400000.0,10000,0,10000,0,0
1632840300000.0,10000,0,10000,0,0
1632841200000.0,10000,0,10000,0,0
1632842100000.0,10000,0,10000,0,0
1632843000000.0,10000,0,10000,0,0
1632843900000.0,10000,0,10000,0,0
1632844800000.0,10000,0,10000,0,0
1632845700000.0,10000,0,10000,0,0
1632846600000.0,10000,0,10000,0,0
1632847500000.0,10000,0,10000,0,0
1632848400000.0,10000,0,10000,0,0
1632849300000.0,10000,0,10000,0,0
1632850200000.0,10000,0,10000,0,0
1632851100000.0,10000,0,10000,0,0
1632852000000.0,10000,0,10000,0,0
1632852900000.0,10000,0,10000,0,0
1632853800000.0,10000,0,10000,0,0
1632854700000.0,10000,0,10000,0,0
1632855600000.0,10000,0,10000,0,0
1632856500000.0,10000,0,10000,0,0
1632857400000.0,10000,0,10000,0,0
1632858300000.0,10000,0,10000,0,0
1632859200000.0,10000,0,10000,0,0
1632860100000.0,10000,0,10000,0,0
1632861000000.0,10000,0,10000,0,0
1632861900000.0,10000,0,10000,0,0
1632862800000.0,10000,0,10000,0,0
1632863700000.0,10000,0,10000,0,0
1632864600000.0,10000,0,10000,0,0
1632865500000.0,10000,0,10000,0,0
1632866400000.0,10000,0,10000,0,0
1632867300000.0,10000,0,10000,0,0
1632868200000.0,10000,0,10000,0,0
1632869100000.0,10000,0,10000,0,0
1632870000000.0,10000,0,10000,0,0
1632870900000.0,10000,0,10000,0,0
1632871800000.0,10000,0,10000,0,0
1632872700000.0,10000,0,10000,0,0
1632873600000.0,10000,0,10000,0,0
1632874500000.0,10000,0,10000,0,0
1632875400000.0,10000,0,10000,0,0
1632876300000.0,10000,0,10000,0,0
1632877200000.0,10000,0,10000,0,0
1632878100000.0,10000,0,10000,0,0
1632879000000.0,10000,0,10000,0,0
1632879900000.0,10000,0,10000,0,0
1632880800000.0,10000,0,10000,0,0
1632881700000.0,10000,0,10000,0,0
1632882600000.0,10000,0,10000,0,0
1632883500000.0,10000,0,10000,0,0
1632884400000.0,10000,0,10000,0,0
1632885300000.0,10000,0,10000,0,0
1632886200000.0,10000,0,10000,0,0
1632887100000.0,10000,0,10000,0,0
1632888000000.0,10000,0,10000,0,0
1632888900000.0,10000,0,10000,0,0
1632889800000.0,10000,0,10000,0,0
1632890700000.0,10000,0,10000,0,0
1632891600000.0,10000,0,10000,0,0
1632892500000.0,10000,0,10000,0,0
1632893400000.0,10000,0,10000,0,0
1632894300000.0,10000,0,10000,0,0
1632895200000.0,10000,0,10000,0,0
1632896100000.0,10000,0,10000,0,0
1632897000000.0,10000,0,10000,0,0
1632897900000.0,10000,0,10000,0,0
1632906000000.0,10000,0,10000,0,0
1632906900000.0,10000,0,10000,0,0
1632907800000.0,10000,0,10000,0,0
1632908700000.0,10000,0,10000,0,0
1632909600000.0,10000,0,10000,0,0
1632910500000.0,10000,0,10000,0,0
1632911400000.0,10000,0,10000,0,0
1632912300000.0,10000,0,10000,0,0
1632913200000.0,10000,0,10000,0,0
1632914100000.0,10000,0,10000,0,0
1632915000000.0,10000,0,10000,0,0
1632915900000.0,10000,0,10000,0,0
1632916800000.0,10000,0,10000,0,0
1632917700000.0,10000,0,10000,0,0
1632918600000.0,10000,0,10000,0,0
1632919500000.0,10000,0,10000,0,0
1632920400000.0,10000,0,10000,0,0
1632921300000.0,10000,0,10000,0,0
1632922200000.0,10000,0,10000,0,0
1632923100000.0,10000,0,10000,0,0
1632924000000.0,10000,0,10000,0,0
1632924900000.0,10000,0,10000,0,0
1632925800000.0,10000,0,10000,0,0
1632926700000.0,10000,0,10000,0,0
1632927600000.0,10000,0,10000,0,0
1632928500000.0,10000,0,10000,0,0
1632929400000.0,10000,0,10000,0,0
1632930300000.0,10000,0,10000,0,0
1632931200000.0,10000,0,10000,0,0
1632932100000.0,10000,0,10000,0,0
1632933000000.0,10000,0,10000,0,0
1632933900000.0,10000,0,10000,0,0
1632934800000.0,10000,0,10000,0,0
1632935700000.0,10000,0,10000,0,0
1632936600000.0,10000,0,10000,0,0
1632937500000.0,10000,0,10000,0,0
1632938400000.0,10000,0,10000,0,0
1632939300000.0,10000,0,10000,0,0
1632940200000.0,10000,0,10000,0,0
1632941100000.0,10000,0,10000,0,0
1632942000000.0,10000,0,10000,0,0
1632942900000.0,10000,0,10000,0,0
1632943800000.0,10000,0,10000,0,0
1632944700000.0,10000,0,10000,0,0
1632945600000.0,10000,0,10000,0,0
1632946500000.0,10000,0,10000,0,0
1632947400000.0,10000,0,10000,0,0
1632948300000.0,10000,0,10000,0,0
1632949200000.0,10000,0,10000,0,0
1632950100000.0,10000,0,10000,0,0
1632951000000.0,10000,0,10000,0,0
1632951900000.0,10000,0,10000,0,0
1632952800000.0,10000,0,10000,0,0
1632953700000.0,10000,0,10000,0,0
1632954600000.0,10000,0,10000,0,0
1632955500000.0,10000,0,10000,0,0
1632956400000.0,10000,0,10000,0,0
1632957300000.0,10000,0,10000,0,0
1632958200000.0,10000,0,10000,0,0
1632959100000.0,10000,0,10000,0,0
1632960000000.0,10000,0,10000,0,0
1632960900000.0,10000,0,10000,0,0
1632961800000.0,10000,0,10000,0,0
1632962700000.0,10000,0,10000,0,0
1632963600000.0,10000,0,10000,0,0
1632964500000.0,10000,0,10000,0,0
1632965400000.0,10000,0,10000,0,0
1632966300000.0,10000,0,10000,0,0
1632967200000.0,10000,0,10000,0,0
1632968100000.0,10000,0,10000,0,0
1632969000000.0,10000,0,10000,0,0
1632969900000.0,10000,0,10000,0,0
1632970800000.0,10000,0,10000,0,0
1632971700000.0,10000,0,10000,0,0
1632972600000.0,10000,0,10000,0,0
1632973500000.0,10000,0,10000,0,0
1632974400000.0,10000,0,10000,0,0
1632975300000.0,10000,0,10000,0,0
1632976200000.0,10000,0,10000,0,0
1632977100000.0,10000,0,10000,0,0
1632978000000.0,10000,0,10000,0,0
1632978900000.0,10000,0,10000,0,0
1632979800000.0,10000,0,10000,0,0
1632980700000.0,10000,0,10000,0,0
1632981600000.0,10000,0,10000,0,0
1632982500000.0,10000,0,10000,0,0
1632983400000.0,10000,0,10000,0,0
1632984300000.0,10000,0,10000,0,0
1632985200000.0,10000,0,10000,0,0
1632986100000.0,10000,0,10000,0,0
1632987000000.0,10000,0,10000,0,0
1632987900000.0,10000,0,10000,0,0
1632988800000.0,10000,0,10000,0,0
1632989700000.0,10000,0,10000,0,0
1632990600000.0,10000,0,10000,0,0
1632991500000.0,10000,0,10000,0,0
1632992400000.0,10000,0,10000,0,0
1632993300000.0,10000,0,10000,0,0
1632994200000.0,10000,0,10000,0,0
1632995100000.0,10000,0,10000,0,0
1632996000000.0,10000,0,10000,0,0
1632996900000.0,10000,0,10000,0,0
1632997800000.0,10000,0,10000,0,0
1632998700000.0,10000,0,10000,0,0
1632999600000.0,10000,0,10000,0,0
1633000500000.0,10000,0,10000,0,0
1633001400000.0,10000,0,10000,0,0
1633002300000.0,10000,0,10000,0,0
1633003200000.0,10000,0,10000,0,0
1633004100000.0,10000,0,10000,0,0
1633005000000.0,10000,0,10000,0,0
1633005900000.0,10000,0,10000,0,0
1633006800000.0,10000,0,10000,0,0
1633007700000.0,10000,0,10000,0,0
1633008600000.0,10000,0,10000,0,0
1633009500000.0,10000,0,10000,0,0
1633010400000.0,10000,0,10000,0,0
1633011300000.0,10000,0,10000,0,0
1633012200000.0,10000,0,10000,0,0
1633013100000.0,10000,0,10000,0,0
1633014000000.0,10000,0,10000,0,0
1633014900000.0,10000,0,10000,0,0
1633015800000.0,10000,0,10000,0,0
1633016700000.0,10000,0,10000,0,0
1633017600000.0,10000,0,10000,0,0
