opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1602885599999.0,479.13533340523077,527.0488667457539,1,0.8,1.1,1603363499999.0,TP
1605397499999.0,507.5401807243965,558.2941987968362,1,0.8,1.1,1605875399999.0,TP
1605846599999.0,482.15809628636947,530.3739059150065,1,0.8,1.1,1605974399999.0,TP
1609454699999.0,512.4678884456332,563.7146772901966,1,0.8,1.1,1609663499999.0,TP
1609814699999.0,515.019466062204,566.5214126684244,1,0.8,1.1,1609955999999.0,TP
1610771399999.0,517.5837479837277,569.3421227821005,1,0.8,1.1,1610813699999.0,TP
1611834299999.0,520.1607974649386,572.1768772114325,1,0.8,1.1,1611920699999.0,TP
1612501199999.0,522.7506780755165,575.0257458830682,1,0.8,1.1,1612859399999.0,TP
1613690099999.0,525.3534537016545,420.28276296132367,1,0.8,1.1,1614068099999.0,SL
1614311099999.0,520.0904628024714,572.0995090827186,1,0.8,1.1,1614775499999.0,TP
1615588199999.0,522.679993216765,574.9479925384416,1,0.8,1.1,1615666499999.0,TP
1616950799999.0,525.2824169029911,577.8106585932903,1,0.8,1.1,1617216299999.0,TP
1617161399999.0,499.01304323367253,548.9143475570398,1,0.8,1.1,1617374699999.0,TP
1618771499999.0,530.3823839990116,583.4206223989128,1,0.8,1.1,1618964999999.0,TP
1619882099999.0,533.0231578889427,586.3254736778371,1,0.8,1.1,1620026999999.0,TP
1620588599999.0,535.6770801920717,589.2447882112789,1,0.8,1.1,1620789299999.0,TP
1622064599999.0,538.344216374348,430.6753730994784,1,0.8,1.1,1622312099999.0,SL
1622327399999.0,532.9510840147099,586.2461924161809,1,0.8,1.1,1622450699999.0,TP
1622939399999.0,535.6046474620191,428.4837179696153,1,0.8,1.1,1624184999999.0,SL
1625009399999.0,503.7217097089563,554.093880679852,1,0.8,1.1,1625435999999.0,TP
1624974299999.0,530.2389601037446,424.1911680829957,1,0.8,1.1,1626748199999.0,SL
1625301899999.0,478.53058700641145,382.8244696051292,1,0.8,1.1,1626751799999.0,SL
1628069399999.0,522.641137173436,574.9052508907797,1,0.8,1.1,1628115299999.0,TP
1628210699999.0,525.2433673954225,577.7677041349648,1,0.8,1.1,1628337599999.0,TP
